Model,Target,R2,MAE,RMSE,Pearson_r,Spearman_r
StackingV2 (Ridge),KCAT,0.7032,0.4197,0.5011,1.0,1.0
Condition (LightGBM),KCAT,0.6054,0.7422,1.0456,0.7793,N/A
Baseline (ExtraTrees),KCAT,0.4981,0.9151,1.3854,N/A,N/A
MSA1D (XGBoost),KCAT,0.3096,1.083,1.4245,0.5588,N/A
MSA2D (LightGBM),KCAT,0.3103,1.0889,1.4304,0.5585,N/A
MSA2D Full,KCAT,-0.0,N/A,N/A,N/A,N/A
StackingV2 (Ridge),KM,0.6914,0.5512,0.6955,0.8318,0.8042
Condition (LightGBM),KM,0.6179,0.5882,0.7882,0.7873,N/A
Baseline (ExtraTrees),KM,0.6097,0.5857,0.7966,N/A,N/A
MSA2D (LightGBM),KM,0.4951,0.7021,0.932,0.7058,N/A
MSA1D (XGBoost),KM,0.4682,0.7273,0.9552,0.6867,N/A
